model,split,trace_id,base_wf1,base_loc,base_joint,causal_wf1,causal_loc,causal_joint,corr_wf1,corr_loc,corr_joint,score_base,score_causal,score_corr,delta_corr_vs_causal,delta_corr_vs_base,delta_wf1_vs_causal,delta_loc_vs_causal,delta_joint_vs_causal,delta_wf1_vs_base,delta_loc_vs_base,delta_joint_vs_base,bucket
openai-gpt-oss-20b,GAIA_dedup,d9a8dff7edce2d1b15ed4769886d9a2a,0.6,0.2,0.16666666666666666,0.42857142857142855,0.0,0.0,0.6153846153846154,0.4,0.16666666666666666,0.9666666666666667,0.42857142857142855,1.182051282051282,0.7534798534798535,0.2153846153846154,0.18681318681318687,0.4,0.16666666666666666,0.015384615384615441,0.2,0.0,working
openai-gpt-oss-20b,GAIA_dedup,fb3333ca30eb8af56d4f31839ca9e317,0.25,0.0,0.0,0.5,0.0,0.0,0.4444444444444444,0.5,0.25,0.25,0.5,1.1944444444444444,0.6944444444444444,0.9444444444444444,-0.05555555555555558,0.5,0.25,0.19444444444444442,0.5,0.25,working
openai-gpt-oss-20b,SWE_Bench_dedup,7930cbe4edc3f5ebec88c6c1b8bb4fb9,0.5,0.2,0.0,0.0,0.2,0.0,0.8,0.0,0.0,0.7,0.2,0.8,0.6000000000000001,0.10000000000000009,0.8,-0.2,0.0,0.30000000000000004,-0.2,0.0,working
openai-gpt-oss-20b,GAIA_dedup,53dba4241b22d5039c9c119871c7c8b4,0.4,0.0,0.0,0.0,0.0,0.0,0.5714285714285714,0.0,0.0,0.4,0.0,0.5714285714285714,0.5714285714285714,0.17142857142857137,0.5714285714285714,0.0,0.0,0.17142857142857137,0.0,0.0,working
openai-gpt-oss-20b,GAIA_dedup,a7017f40866dd77c6c0c0e98bad17f69,0.0,1.0,0.0,0.0,0.5,0.0,0.5714285714285714,0.5,0.0,1.0,0.5,1.0714285714285714,0.5714285714285714,0.0714285714285714,0.5714285714285714,0.0,0.0,0.5714285714285714,-0.5,0.0,working
openai-gpt-oss-20b,SWE_Bench_dedup,da17836ad8ecb77066313bdcbf25547a,0.0,0.0,0.0,0.25,0.0,0.0,0.7692307692307693,0.0,0.0,0.0,0.25,0.7692307692307693,0.5192307692307693,0.7692307692307693,0.5192307692307693,0.0,0.0,0.7692307692307693,0.0,0.0,working
openai-gpt-oss-20b,SWE_Bench_dedup,2102eea2af6327834c8bd97b1488474c,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.0,0.0,working
openai-gpt-oss-20b,GAIA_dedup,fcdcb46c7df316b571138b53bd3c822a,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.3333333333333333,0.0,0.4,0.4,0.06666666666666671,0.4,0.0,0.0,0.06666666666666671,0.0,0.0,working
openai-gpt-oss-20b,GAIA_dedup,512475a321c616e45337da3575f6a185,0.18181818181818182,0.0,0.0,0.0,0.0,0.0,0.36363636363636365,0.0,0.0,0.18181818181818182,0.0,0.36363636363636365,0.36363636363636365,0.18181818181818182,0.36363636363636365,0.0,0.0,0.18181818181818182,0.0,0.0,working
openai-gpt-oss-20b,GAIA_dedup,7bf0addde339e4cac9dd3b772232a7e0,0.2,0.0,0.0,0.2,0.0,0.0,0.3076923076923077,0.25,0.0,0.2,0.2,0.5576923076923077,0.3576923076923077,0.3576923076923077,0.1076923076923077,0.25,0.0,0.1076923076923077,0.25,0.0,working
openai-gpt-oss-20b,GAIA_dedup,cac8b6b2d84841d9a5177e399f0595b4,0.46153846153846156,0.0,0.0,0.2,0.0,0.0,0.5454545454545454,0.0,0.0,0.46153846153846156,0.2,0.5454545454545454,0.3454545454545454,0.08391608391608385,0.3454545454545454,0.0,0.0,0.08391608391608385,0.0,0.0,working
